time_ms,torque,position,velocity,raw
1776843840679,-0.09349969481956212,0.0,-0.13629358358129195,
1776843840691,-0.022333066300449733,0.0,-0.864087891966129,
1776843840702,-0.0034380483710990534,0.0,-1.0493934538796097,
1776843840712,-0.03374299992370441,0.0,-0.753978789959568,
1776843840723,-0.055846837567712075,0.0,-0.5525597009231689,
1776843840733,-0.02890177004653957,0.0,-0.8358892195010341,
1776843840744,-0.038527695124742,0.0,-0.7499504081788402,
1776843840756,-0.044487792782482105,0.0,-0.7002670328831968,
1776843840767,-0.04413340199893133,0.0,-0.7190661478599267,
1776843840778,-0.043164682993819564,0.0,-0.7432364385442938,
1776843840789,-0.04399530785076622,0.0,-0.7445792324712031,
1776843840799,-0.0684020370794233,0.0,-0.5203326466773461,
1776843840810,-0.09455104142824446,0.0,-0.29340047302967776,
1776843840822,-0.09906427862973985,0.0,-0.2853437094682221,
1776843840833,-0.06775513084611291,0.0,-0.6223849851224514,
1776843840843,-0.06313736934462519,0.0,-0.6854962996871876,
1776843840853,-0.05665648126955009,0.0,-0.7620355535210237,
1776843840864,-0.05855798428320689,0.0,-0.7553215838864773,
1776843840874,-0.053067406729228106,0.0,-0.8184328984512135,
1776843840885,-0.06612417029068375,0.0,-0.7002670328831968,
1776843840896,-0.08221564812695512,0.0,-0.5606164644846245,
1776843840907,-0.10098935683222707,0.0,-0.3994811932555109,
1776843840918,-0.09506572823682008,0.0,-0.4867627985046141,
1776843840929,-0.08730247196154736,0.0,-0.5861295490959009,
1776843840939,-0.06734328984512036,0.0,-0.7982909895475743,
1776843840950,-0.06377962157625638,0.0,-0.8439459830624898,
1776843840961,-0.05987689784084783,0.0,-0.8855725947966775,
1776843840972,-0.06629018844891982,0.0,-0.8291752498664877,
1776843840982,-0.09182822156099796,0.0,-0.591500724803538,
1776843840993,-0.09250778210116734,0.0,-0.6049286640726308,
1776843841004,-0.0819750133516435,0.0,-0.7271229114213824,
1776843841014,-0.0901339360646983,0.0,-0.6626688029297298,
1776843841025,-0.07663359273670495,0.0,-0.8050049591821207,
1776843841035,-0.05733237964446421,0.0,-0.9997100785839663,
1776843841046,-0.05838792248416816,0.0,-0.9903105210956014,
1776843841056,-0.10175490196078427,0.0,-0.5740444037537173,
1776843841066,-0.10237067978942546,0.0,-0.5901579308766287,
1776843841077,-0.09686331731136036,0.0,-0.6626688029297298,
1776843841087,-0.08115072098878395,0.0,-0.8291752498664877,
1776843841098,-0.05600164034485328,0.0,-1.0802777141985231,
1776843841109,-0.06696028839551318,0.0,-0.9715114061188714,
1776843841120,-0.08101407644769897,0.0,-0.8332036316472156,
1776843841131,-0.08813233386739834,0.0,-0.7714351110093887,
1776843841142,-0.09937296864270989,0.0,-0.6747539482719134,
1776843841152,-0.1055244144350346,0.0,-0.6317845426108164,
1776843841165,-0.08594121461814222,0.0,-0.8358892195010341,
1776843841175,-0.06252433813992454,0.0,-1.0668497749294303,
1776843841186,-0.07238189517051882,0.0,-0.9701686121919622,
1776843841197,-0.1005048065918966,0.0,-0.7002670328831968,
1776843841207,-0.08939799343861975,0.0,-0.8197756923781228,
1776843841218,-0.08471309224078653,0.0,-0.8748302433814032,
1776843841229,-0.07940043488212323,0.0,-0.9325703822385023,
1776843841239,-0.06252296482795373,0.0,-1.099076829175253,
1776843841251,-0.06671393148699085,0.0,-1.0520790417334283,
1776843841261,-0.11463969634546398,0.0,-0.5888151369497194,
1776843841272,-0.09744666971847012,0.0,-0.7768062867170258,
1776843841283,-0.07570492866407177,0.0,-0.9997100785839663,
1776843841293,-0.08175902189669551,0.0,-0.9419699397268673,
1776843841304,-0.06832917524986559,0.0,-1.0722209506370675,
1776843841314,-0.06354020752269691,0.0,-1.1151903562981644,
1776843841325,-0.09012897688258084,0.0,-0.8506599526970362,
1776843841336,-0.10727119096665798,0.0,-0.6922102693217411,
1776843841347,-0.09402262149996085,0.0,-0.8385748073548527,
1776843841358,-0.08302658884565402,0.0,-0.9527122911421415,
1776843841368,-0.07248710612649632,0.0,-1.056107423514156,
1776843841379,-0.08296906233310342,0.0,-0.950026703288323,
1776843841389,-0.08660612649729048,0.0,-0.9204852368963188,
1776843841401,-0.09616826886396472,0.0,-0.8345464255741248,
1776843841411,-0.09244010833905437,0.0,-0.8788586251621311,
1776843841422,-0.08489505607690438,0.0,-0.9553978789959601,
1776843841433,-0.06090749217975026,0.0,-1.1877012283512656,
1776843841443,-0.07906015869382663,0.0,-1.0091096360723313,
1776843841454,-0.10029118028534253,0.0,-0.8050049591821207,
1776843841465,-0.08345063706416304,0.0,-0.9795681696803271,
1776843841475,-0.085808690012969,0.0,-0.9607690547035972,
1776843841485,-0.06858880750743764,0.0,-1.1299610894941665,
1776843841496,-0.06175543602654958,0.0,-1.1890440222781749,
1776843841507,-0.07790733958953111,0.0,-1.0292515449759705,
1776843841517,-0.11056553749904496,0.0,-0.7163805600061082,
1776843841528,-0.09008266575112407,0.0,-0.9285420004577745,
1776843841538,-0.07012684061951506,0.0,-1.1286182955672572,
1776843841548,-0.0680402456702513,0.0,-1.14204623483635,
1776843841559,-0.07249977111467028,0.0,-1.0923628595407067,
1776843841570,-0.10470141908903499,0.0,-0.7727779049362979,
1776843841581,-0.09724029144731683,0.0,-0.8560311284046733,
1776843841591,-0.0932469291218419,0.0,-0.9043717097734074,
1776843841601,-0.08038776989394844,0.0,-1.0346227206836076,
1776843841611,-0.0612879758907441,0.0,-1.2172426947432697,
1776843841622,-0.08640974288547962,0.0,-0.9621118486305065,
1776843841633,-0.10247100785839477,0.0,-0.8090333409628485,
1776843841644,-0.09992114900434731,0.0,-0.8426031891355805,
1776843841655,-0.09058346684977342,0.0,-0.9379415579461394,
1776843841666,-0.0696138323033479,0.0,-1.1433890287632593,
1776843841676,-0.06306916151674533,0.0,-1.1984435797665398,
1776843841687,-0.08956057831692832,0.0,-0.9365987640192301,
1776843841698,-0.11123472190432428,0.0,-0.7324940871290195,
1776843841708,-0.08149664301518116,0.0,-1.0305943389028798,
1776843841719,-0.07600606546120238,0.0,-1.0829633020523417,
1776843841730,-0.05582532234683604,0.0,-1.2722972457465502,
1776843841741,-0.06778770885786063,0.0,-1.1433890287632593,
1776843841751,-0.10862687876706928,0.0,-0.7418936446173845,
1776843841761,-0.08937937743190491,0.0,-0.9419699397268673,
1776843841771,-0.07155859464408165,0.0,-1.1192187380788923,
1776843841782,-0.0706368734264117,0.0,-1.1219043259327108,
1776843841792,-0.0700474937056518,0.0,-1.1205615320058016,
1776843841803,-0.0921009765773996,0.0,-0.9030289158464981,
1776843841814,-0.0960334554055067,0.0,-0.8667734798199476,
1776843841824,-0.07734657053482696,0.0,-1.0547646295872468,
1776843841835,-0.07000629434653065,0.0,-1.1232471198596201,
1776843841846,-0.07521442740520155,0.0,-1.0668497749294303,
1776843841857,-0.08302758068207645,0.0,-0.9916533150225106,
1776843841867,-0.09275085831997981,0.0,-0.9016861219195889,
1776843841877,-0.08644117647058636,0.0,-0.9688258182650529,
1776843841887,-0.08725837338826391,0.0,-0.9594262607766879,
1776843841898,-0.06679564354924664,0.0,-1.1581597619592614,
1776843841909,-0.07473636224917792,0.0,-1.0708781567101582,
1776843841920,-0.11074483100633044,0.0,-0.720408941786836,
1776843841931,-0.10344148165102411,0.0,-0.8036621652552114,
1776843841942,-0.07900743877317264,0.0,-1.0493934538796097,
1776843841952,-0.07896860456244553,0.0,-1.0467078660257911,
1776843841963,-0.06837541008621148,0.0,-1.1474174105439872,
1776843841973,-0.07916620889600771,0.0,-1.0346227206836076,
1776843841984,-0.10655058365758538,0.0,-0.7687495231555701,
1776843841995,-0.10013683527885647,0.0,-0.8412603952086712,
1776843842005,-0.09175589379720545,0.0,-0.9298847943846837,
1776843842016,-0.06512302586404005,0.0,-1.1890440222781749,
1776843842026,-0.06495326924543929,0.0,-1.1809872587167192,
1776843842037,-0.08728873884183806,0.0,-0.9580834668497786,
1776843842047,-0.09294670786602356,0.0,-0.9097428854810445,
1776843842058,-0.09014843213549788,0.0,-0.9433127336537765,
1776843842068,-0.08205619134813236,0.0,-1.0252231631952426,
1776843842079,-0.0695360875867835,0.0,-1.1433890287632593,
1776843842089,-0.08293190661478374,0.0,-1.0064240482185127,
1776843842100,-0.10485782406347517,0.0,-0.7929198138399371,
1776843842111,-0.0894305714503677,0.0,-0.950026703288323,
1776843842122,-0.08292282749675514,0.0,-1.017166399633787,
1776843842132,-0.06578351262683835,0.0,-1.1809872587167192,
1776843842143,-0.06177672236209432,0.0,-1.209185931181814,
1776843842154,-0.09713729304951312,0.0,-0.8587167162584919,
1776843842165,-0.09772285801479882,0.0,-0.8600595101854012,
1776843842175,-0.08929491874570598,0.0,-0.9473411154345044,
1776843842186,-0.07120557717250088,0.0,-1.1232471198596201,
1776843842197,-0.06785339894712511,0.0,-1.1474174105439872,
1776843842208,-0.09938364995803518,0.0,-0.8345464255741248,
1776843842218,-0.10563580529487807,0.0,-0.7781490806439351,
1776843842229,-0.08905374990462861,0.0,-0.9486839093614137,
1776843842240,-0.08641660944533203,0.0,-0.9782253757534178,
1776843842250,-0.059125772487981086,0.0,-1.2414129854276368,
1776843842261,-0.08507335774776582,0.0,-0.9822537575341457,
1776843842272,-0.09634084840161486,0.0,-0.8761730373083125,
1776843842283,-0.07819108110169881,0.0,-1.0574502174410654,
1776843842294,-0.08349320973525338,0.0,-1.0064240482185127,
1776843842304,-0.08327645532921078,0.0,-1.0091096360723313,
1776843842315,-0.07055493247882551,0.0,-1.1299610894941665,
1776843842326,-0.09645216296635115,0.0,-0.8775158312352218,
1776843842337,-0.10148237582970657,0.0,-0.8345464255741248,
1776843842347,-0.08191260395208398,0.0,-1.0346227206836076,
1776843842358,-0.07305161364156289,0.0,-1.1165331502250737,
1776843842369,-0.07404001678492139,0.0,-1.1004196231021623,
1776843842380,-0.07933207446402411,0.0,-1.0440222781719726,
1776843842390,-0.10486675059128425,0.0,-0.796948195620665,
1776843842401,-0.10164213778896489,0.0,-0.8358892195010341,
1776843842412,-0.08114583810177488,0.0,-1.041336690318154,
1776843842423,-0.07189879453726739,0.0,-1.1286182955672572,
1776843842434,-0.07931582360570405,0.0,-1.050736247806519,
1776843842445,-0.0910062943465295,0.0,-0.9365987640192301,
1776843842455,-0.09511669336995209,0.0,-0.8990005340657703,
1776843842466,-0.07814187075608167,0.0,-1.065506981002521,
1776843842476,-0.06799515526054495,0.0,-1.16084534981308,
1776843842487,-0.06764412146181144,0.0,-1.1554741741054428,
1776843842497,-0.0907684824902694,0.0,-0.9231708247501373,
1776843842508,-0.09971629663538266,0.0,-0.839917601281762,
1776843842518,-0.0908284504463234,0.0,-0.931227588311593,
1776843842533,-0.0710236896314917,0.0,-1.1259327077134387,
1776843842544,-0.06211905851834605,0.0,-1.2051575494010862,
1776843842554,-0.0872273975738125,0.0,-0.9540550850690508,
1776843842565,-0.09658812085145035,0.0,-0.8681162737468568,
1776843842575,-0.09056042572670785,0.0,-0.931227588311593,
1776843842586,-0.06832856488898761,0.0,-1.1474174105439872,
1776843842596,-0.06900812542915696,0.0,-1.1339894712748944,
1776843842607,-0.08244422827496448,0.0,-0.9956816968032385,
1776843842617,-0.08857888914320279,0.0,-0.9392843518730487,
1776843842627,-0.09728500038147236,0.0,-0.8600595101854012,
1776843842638,-0.09018642710001973,0.0,-0.9325703822385023,
1776843842649,-0.06754165712977486,0.0,-1.151445792324715,
1776843842660,-0.08085690852216057,0.0,-1.0131380178530591,
1776843842670,-0.10170187685969002,0.0,-0.8076905470359392,
1776843842680,-0.09284088654916894,0.0,-0.9003433279926796,
1776843842691,-0.07781982909895155,0.0,-1.0520790417334283,
1776843842702,-0.06997264820324697,0.0,-1.1245899137865294,
1776843842713,-0.06373346303501626,0.0,-1.1796444647898099,
1776843842725,-0.08676718547340787,0.0,-0.9513694972152322,
1776843842735,-0.09914583810177433,0.0,-0.8372320134279434,
1776843842746,-0.0911811627374652,0.0,-0.9218280308232281,
1776843842756,-0.0684658960860576,0.0,-1.1447318226901686,
1776843842767,-0.06016887922483842,0.0,-1.2172426947432697,
1776843842777,-0.07319878690775589,0.0,-1.0802777141985231,
1776843842788,-0.1015667582207946,0.0,-0.8036621652552114,
1776843842799,-0.09784531166551878,0.0,-0.8479743648432176,
1776843842809,-0.09041103990233881,0.0,-0.9258564126039559,
1776843842819,-0.06900499732966779,0.0,-1.1353322652018036,
1776843842830,-0.07063458457312546,0.0,-1.1125047684443459,
1776843842841,-0.09353402761882613,0.0,-0.8842298008697682,
1776843842852,-0.08505909056229147,0.0,-0.9701686121919622,
1776843842864,-0.08588635843442084,0.0,-0.964797436484325,
1776843842875,-0.07759269855801895,0.0,-1.0467078660257911,
1776843842886,-0.07202155336842558,0.0,-1.0977340352483438,
1776843842897,-0.08876764324406448,0.0,-0.9285420004577745,
1776843842908,-0.0868858243686544,0.0,-0.9527122911421415,
1776843842919,-0.0949641794460939,0.0,-0.8761730373083125,
1776843842930,-0.07261818112458636,0.0,-1.0963912413214345,
1776843842941,-0.08086102845807223,0.0,-1.0117952239261498,
1776843842951,-0.08068455786983691,0.0,-1.0117952239261498,
1776843842962,-0.0950908293278364,0.0,-0.873487449454494,
1776843842973,-0.09358834973677817,0.0,-0.8949721522850425,
1776843842984,-0.07650274662393773,0.0,-1.0641641870756118,
1776843842995,-0.07125722896161989,0.0,-1.1111619745174366,
1776843843005,-0.08186675059128337,0.0,-1.0023956664377849,
1776843843016,-0.10081166552223621,0.0,-0.8170901045243042,
1776843843027,-0.09638525215533303,0.0,-0.8654306858930383,
1776843843038,-0.09156607156480887,0.0,-0.9164568551155909,
1776843843049,-0.06719916838330288,0.0,-1.1554741741054428,
1776843843059,-0.055884222171355094,0.0,-1.2575265125505481,
1776843843070,-0.09027798123139921,0.0,-0.9124284733348631,
1776843843081,-0.08136663614861903,0.0,-1.0050812542916034,
1776843843092,-0.08535282673380248,0.0,-0.9701686121919622,
1776843843103,-0.07495433737697028,0.0,-1.0735637445639767,
1776843843114,-0.06091016250857938,0.0,-1.2065003433279955,
1776843843124,-0.09671385519187824,0.0,-0.8466315709163084,
1776843843135,-0.09980708781566702,0.0,-0.8224612802319413,
1776843843145,-0.07633649958037297,0.0,-1.060135805294884,
1776843843156,-0.08080609597924378,0.0,-1.0131380178530591,
1776843843167,-0.06909166857404045,0.0,-1.1245899137865294,
1776843843177,-0.08374971389333542,0.0,-0.9782253757534178,
1776843843188,-0.09442973220416165,0.0,-0.8788586251621311,
1776843843198,-0.08631399252307523,0.0,-0.9661402304112343,
1776843843209,-0.07756042572670688,0.0,-1.0520790417334283,
1776843843219,-0.058343137254897974,0.0,-1.2346990157930904,
1776843843230,-0.08601621271076113,0.0,-0.9567406729228694,
1776843843241,-0.09494724193178802,0.0,-0.8708018616006754,
1776843843252,-0.08407541771572029,0.0,-0.9809109636072364,
1776843843263,-0.08526523994811518,0.0,-0.9715114061188714,
1776843843274,-0.06679655909055818,0.0,-1.151445792324715,
1776843843285,-0.05420595864804657,0.0,-1.2642404821850945,
1776843843296,-0.07591031509879798,0.0,-1.0440222781719726,
1776843843306,-0.0765697337300637,0.0,-1.0399938963912447,
1776843843317,-0.08268089570458109,0.0,-0.9809109636072364,
1776843843328,-0.07109739070725145,0.0,-1.0923628595407067,
1776843843339,-0.04814042114900019,0.0,-1.3072098878461915,
1776843843350,-0.07483997100785413,0.0,-1.035965514610517,
1776843843360,-0.08317009994658911,0.0,-0.9580834668497786,
1776843843371,-0.08190596627755728,0.0,-0.9728542000457807,
1776843843382,-0.07031910429541036,0.0,-1.0856488899061603,
1776843843392,-0.06581212329289261,0.0,-1.1259327077134387,
1776843843402,-0.08352166781108891,0.0,-0.950026703288323,
1776843843413,-0.0994788662546686,0.0,-0.796948195620665,
1776843843423,-0.08774765392537894,0.0,-0.9177996490425002,
1776843843433,-0.0766139848935639,0.0,-1.031937132829789,
1776843843444,-0.0631807812619167,0.0,-1.16084534981308,
1776843843454,-0.07037624933241336,0.0,-1.0816205081254324,
1776843843465,-0.08604474708170756,0.0,-0.9285420004577745,
1776843843476,-0.09099103532463115,0.0,-0.8855725947966775,
1776843843486,-0.09201636530097965,0.0,-0.8775158312352218,
1776843843496,-0.06970729381246211,0.0,-1.0977340352483438,
1776843843507,-0.05861055161363709,0.0,-1.2011291676203584,
1776843843518,-0.0698176165407752,0.0,-1.0829633020523417,
1776843843529,-0.09612775616082544,0.0,-0.8264896620126692,
1776843843539,-0.09546452277408551,0.0,-0.839917601281762,
1776843843550,-0.06735793850613718,0.0,-1.1192187380788923,
1776843843561,-0.055532730601963856,0.0,-1.2266422522316347,
1776843843572,-0.07737808041504074,0.0,-1.0037384603646942,
1776843843582,-0.09617864499885083,0.0,-0.821118486305032,
1776843843593,-0.09761688410772393,0.0,-0.8144045166704856,
1776843843604,-0.08943064774547475,0.0,-0.9016861219195889,
1776843843615,-0.06183096818493465,0.0,-1.1715877012283542,
1776843843625,-0.060167353322647305,0.0,-1.1783016708629006,
1776843843636,-0.08770614938581955,0.0,-0.9016861219195889,
1776843843647,-0.10339814602883467,0.0,-0.7526359960326587,
1776843843658,-0.09609143968871107,0.0,-0.8318608377203063,
